topicId;words..
0;gia_đình của_mình mọi_người cuộc_sống chúng_tôi một_người con_gái những_người thời_gian con_trai nhiều_người
1;việt_nam thế_giới trở_thành tham_gia thời_gian nổi_tiếng đầu_tiên thành_viên trong_những rất_nhiều một_trong
2;cho_biết sau_khi bệnh_viện kenh_mobile xem_ảnh thông_tin nạn_nhân tai_nạn học_sinh tuy_nhiên đại_học
3;ảnh_minh minh_họa khu_vực xem_ảnh kenh_mobile sài_gòn thành_phố người_dân trung_tâm việt_nam sân_bay
4;ảnh_minh minh_họa vui_lòng xem_trên trên_bản lòng_xem bản_web video_vui khán_giả họa_ảnh chương_trình
5;minh_họa ảnh_minh họa_ảnh hình_ảnh diễn_viên nhân_vật kenh_mobile xem_ảnh xuất_hiện gương_mặt xinh_đẹp
6;ảnh_minh minh_họa họa_ảnh thời_trang phong_cách trang_phục kết_hợp đơn_giản nổi_bật những_chiếc họa_tiết
7;của_bạn của_mình bạn_thể các_bạn với_những trang_điểm một_cách trở_nên nếu_bạn bạn_không rất_nhiều
8;cầu_thủ việt_nam trận_đấu đội_bóng thi_đấu minh_họa ảnh_minh chiến_thắng kenh_mobile xem_ảnh bàn_thắng
9;ảnh_minh minh_họa sản_phẩm người_dùng màn_hình ứng_dụng khả_năng công_nghệ phiên_bản điện_thoại thông_tin
